type,artist,title,url,current_price,original_price,release_date
"album","Re:Axis","","https://planetrhythm.bandcamp.com/album/ancient-ways-ep","","",""
"track","Christian Coiffure","Cave Moss","https://christian-coiffure.bandcamp.com/track/cave-moss","","",""
"track","Christian Coiffure","Trees Used To Speak At Dawn","https://christian-coiffure.bandcamp.com/track/trees-used-to-speak-at-dawn","","",""
"track","Christian Coiffure","Biosphere Is Reborn","https://christian-coiffure.bandcamp.com/track/biosphere-is-reborn","","",""
"track","Najel Monteiro","Manuscript","https://terrapretarecords.bandcamp.com/track/manuscript","","",""
"track","robert istoc","you can't stop midnight","https://attitudeinsound.bandcamp.com/track/you-cant-stop-midnight","","",""
"track","robert istoc","black magnet","https://attitudeinsound.bandcamp.com/track/black-magnet","","",""
"track","Aural Float","South Of The Clouds Pt.2 (Gregor Tresher Remix)","https://extrawelt.bandcamp.com/track/south-of-the-clouds-pt-2-gregor-tresher-remix","","",""
"album","Najel Monteiro","","https://terrapretarecords.bandcamp.com/album/existential","","",""
"track","Politics Of Dancing Records","Mateo Dufour - Dashed Sreet ( D'JULZ Remix )","https://politicsofdancingrecords.bandcamp.com/track/mateo-dufour-dashed-sreet-djulz-remix","","",""
"track","Demuir","DaT Fonk (Get Into It)","https://screamsodarecords.bandcamp.com/track/dat-fonk-get-into-it","","",""
"album","JFR","","https://offt.bandcamp.com/album/jfr-pt-1-offt1001","","",""
"album","Motýl","","https://detachrecordings.bandcamp.com/album/noc","","",""
"album","The Vision Reels","","https://kizenrecords.bandcamp.com/album/eyes-open-kznd004-kzn006","","",""
"album","Various Artists","","https://oscillasound.bandcamp.com/album/lmnl-001-liminal-va-001","","",""
"album","fórum","","https://foruminit.bandcamp.com/album/f-rum-rezonance-ii","","",""
"album","Jo Johnson","","https://jojohnson.bandcamp.com/album/the-wave-ahead","","",""
"album","Christina Chatfield","","https://mysteriesofthedeep.bandcamp.com/album/interpretations-vol-iv-sutro","","",""
"track","Don't Throw It Away EP","Don't Throw That Away, I'll Eat It  (Kostya Outta Remix)","https://plasticfantasticrecords1994.bandcamp.com/track/dont-throw-that-away-ill-eat-it-kostya-outta-remix","","",""
"track","Don't Throw It Away EP","Don't Throw That Away, I'll Eat It","https://plasticfantasticrecords1994.bandcamp.com/track/dont-throw-that-away-ill-eat-it","","",""
"track","Gowzer","Cosmos","https://plasticfantasticrecords1994.bandcamp.com/track/cosmos","","",""
"track","Rolasoul","Elysium","https://plasticfantasticrecords1994.bandcamp.com/track/elysium","","",""
"track","Rolasoul","Atomic Blonde","https://plasticfantasticrecords1994.bandcamp.com/track/atomic-blonde","","",""
"track","Sean Harvey","Floored!","https://plasticfantasticrecords1994.bandcamp.com/track/floored","","",""
"album","HCY","","https://scopavik.bandcamp.com/album/pale-mono-incl-shoal-remix","","",""
"album","Ruhig","","https://summacumlaude.bandcamp.com/album/inward-spiral","","",""
"album","Dialog","","https://dialogsound.bandcamp.com/album/dot-4-feat-benji","","",""
"track","Nightlife In Solidarity","Inori - Your Love!","https://nightlifeinsolidarity.bandcamp.com/track/inori-your-love","","",""
"track","Nightlife In Solidarity","Volta x Hood - Symbiose","https://nightlifeinsolidarity.bandcamp.com/track/volta-x-hood-symbiose","","",""
"track","Nightlife In Solidarity","GTV6 - Milky Way","https://nightlifeinsolidarity.bandcamp.com/track/gtv6-milky-way","","",""
"track","Various Artists","Audrey Danza - Microdot","https://proxima9000.bandcamp.com/track/audrey-danza-microdot","","",""
"track","DJ Stingray 313","Binarycoven","https://djstingray313.bandcamp.com/track/binarycoven","","",""
"track","DJ Stingray 313","Potential","https://djstingray313.bandcamp.com/track/potential","","",""
"track","Ctrls","Transfer","https://micronaudio.bandcamp.com/track/transfer","","",""
"track","Pablo Diarra","Fluctuation décoloniale","https://songe-anima-records.bandcamp.com/track/fluctuation-d-coloniale","","",""
"album","Teriak / Saïph","","https://accentsrecords.bandcamp.com/album/accentape007-sa-ph-teriak","","",""
"track","Saïph","Jungle key activation","https://sai8.bandcamp.com/track/jungle-key-activation","","",""
"track","Saïph","Mountains","https://sai8.bandcamp.com/track/mountains","","",""
"track","Saïph","Quiet forces","https://sai8.bandcamp.com/track/quiet-forces","","",""
"track","Saïph","And if the sky was under Earth ?","https://sai8.bandcamp.com/track/and-if-the-sky-was-under-earth","","",""
"album","Saïph","","https://songe-anima-records.bandcamp.com/album/ordre-songe","","",""
"track","Hervé Boghossian","Fin de conversation","https://raster-raster.bandcamp.com/track/fin-de-conversation","","",""
"album","SUNN O)))","","https://sunn.bandcamp.com/album/pyroclasts","","",""
"album","Jefre Cantu-Ledesma","","https://jefrecantu-ledesma.bandcamp.com/album/love-is-a-stream","","",""
"track","Raleigh","Return From Hora","https://harmonyrec.bandcamp.com/track/return-from-hora","","",""
"track","Kerosene","Killerbots","https://keroseneberlin.bandcamp.com/track/killerbots","","",""
"album","turbinaria","","https://turbinaria.bandcamp.com/album/binomial","","",""
"track","Saïph","5 Side Square","https://artsrecordings.bandcamp.com/track/5-side-square","","",""
"album","JS","","https://mcmlxv.bandcamp.com/album/js-01-js-01-r","","",""
"album","Nior","","https://niorprague.bandcamp.com/album/shenanigans","","",""
"track","Malin Genie & Frits Wentink","Ambrosia","https://bobbydonny-aceseries.bandcamp.com/track/ambrosia","","",""
"album","Casey Club","","https://caseyclub.bandcamp.com/album/patna-palace-run-stpt154","","",""
"track","Hervé Boghossian","Insolation sonore","https://raster-raster.bandcamp.com/track/insolation-sonore","","",""
"track","Grischa Lichtenberger","0721_07_re0509_22_ss1 ss1b","https://raster-raster.bandcamp.com/track/0721-07-re0509-22-ss1-ss1b","","",""
"track","Grischa Lichtenberger","1205_10","https://raster-raster.bandcamp.com/track/1205-10","","",""
"track","Dasha Rush","Outer space","https://raster-raster.bandcamp.com/track/outer-space","","",""
"track","Dasha Rush","Life time poem","https://raster-raster.bandcamp.com/track/life-time-poem","","",""
"track","Dasha Rush","Sail away to her","https://raster-raster.bandcamp.com/track/sail-away-to-her","","",""
"track","Retina.it","Rodeo","https://raster-raster.bandcamp.com/track/rodeo","","",""
"track","Benjamin Brunn","Alloy","https://raster-raster.bandcamp.com/track/alloy","","",""
"track","Zavoloka","Inflame","https://raster-raster.bandcamp.com/track/inflame","","",""
"track","Benjamin Brunn","Coy","https://raster-raster.bandcamp.com/track/coy","","",""
"track","VA x BY","We should communicate that","https://raster-raster.bandcamp.com/track/we-should-communicate-that","","",""
"album","Various Artists","","https://hadshothaheizar.bandcamp.com/album/classic-remix-2","","",""
"track","DJ Honesty","Shortwave","https://anotherpicture.bandcamp.com/track/shortwave","","",""
"track","Minimal Man","Chicken Store (TR/12 Version)","https://babyford.bandcamp.com/track/chicken-store-tr-12-version","","",""
"track","Minimal Man","Treatment Feel (Soul Capsule's 'Joy Mix') Previously Unreleased","https://babyford.bandcamp.com/track/treatment-feel-soul-capsules-joy-mix-previously-unreleased","","",""
"track","Audio Werner","Ulip","https://audiowerner.bandcamp.com/track/ulip","","",""
"track","Losoul","Movespeak","https://anotherpicture.bandcamp.com/track/movespeak","","",""
"track","Racoon Brigade","Radar","https://tustancecorp.bandcamp.com/track/radar","","",""
"track","Racoon Brigade","Psy Passage","https://tustancecorp.bandcamp.com/track/psy-passage","","",""
"track","Astral Vip Records","Big Leg & Glu - Shakedown in Area 51","https://astralviprecords.bandcamp.com/track/big-leg-glu-shakedown-in-area-51","","",""
"album","Atom™","","https://raster-raster.bandcamp.com/album/ich-bin-meine-maschine","","",""
"track","Yaleesa Hall","Voices","https://yaleesahall.bandcamp.com/track/voices","","",""
"track","Prieste5s","Fuck The Vocal Booth","https://w133records.bandcamp.com/track/fuck-the-vocal-booth","","",""
"track","Mike Wall","Loose Changes EP","https://ml-limited.bandcamp.com/track/loose-changes-ep","","",""
"track","Freddy Fresh (Modulator)","Give Me a Reason","https://analog-records.bandcamp.com/track/give-me-a-reason","","",""
"track","Freddy Fresh (Modulator)","freeborn","https://analog-records.bandcamp.com/track/freeborn","","",""
"track","Metapattern x NOFCE","Population III","https://circuitbreaker.bandcamp.com/track/population-iii","","",""
"track","LSS","Perch","https://circuitbreaker.bandcamp.com/track/perch","","",""
"track","Pino Peña","Mia's Pocket","https://circuitbreaker.bandcamp.com/track/mias-pocket","","",""
"track","Myk Derill","Wechselwirkung","https://glukkon.bandcamp.com/track/wechselwirkung","","",""
"track","Pino Peña","Opas Taschenuhr","https://glukkon.bandcamp.com/track/opas-taschenuhr","","",""
"track","Pino Peña","Backdoor","https://glukkon.bandcamp.com/track/backdoor","","",""
"track","Eduard Szilagyi","Obstacles","https://glukkon.bandcamp.com/track/obstacles","","",""
"track","Ketch","Boombox Revenge","https://glukkon.bandcamp.com/track/boombox-revenge","","",""
